name,source,gender,wikidata,type
"Rue des Mérens",,,,relation
"Rue des Merisiers",,,,way
"Rue des Messagers",,,,way
"Rue des Mimosas",,,,relation
"Rue des Mustangs",,,,relation
"Rue des Myosotis",,,,relation
"Rue des Oliviers",,,,way
"Rue des Orphelines",,,,relation
"Rue des Palmiers",,,,relation
"Rue des Palombes",,,,relation
"Rue des Peupliers",,,,way
"Rue des Planètes",,,,way
"Rue des Ponts",,,,way
"Rue des Pottoks",,,,way
"Rue des Réparatrices",,,,way
"Rue des Saules",,,,way
"Rue des Tiredous",,,,way
"Rue des Tourterelles",,,,way
"Rue des Touyas",,,,way
"Rue des Trois Caravelles",,,,way
"Rue des Trois Frères Bernadac",,,,relation
"Rue des Trois Frères Laborde",,,,way
"Rue des Véroniques",,,,relation
"Rue des Violettes",,,,way
"Rue du 11 Novembre",,,,way
"Rue du 14 Juillet",,,,relation+way
"Rue du 18 Juin 1940",,,,way
"Rue du 1er Mai",,,,way
"Rue du 8 Mai 1945",,,,way
"Rue du Balaïtous",,,,relation
"Rue du Baron Séguier",,,,relation
"Rue du Bouscat",,,,way
"Rue du Cadre Noir",,,,way
"Rue du Cami Salie",,,,way
"Rue du Capitaine Guynemer",,,,relation
"Rue du Castêt de l'Array",,,,way
"Rue du Chanoine Dubarat",,,,relation
"Rue du Chanoine Laborde",,,,relation
"Rue du Chanoine Pambrun",,,,way
"Rue du Château",,,,relation
"Rue du Colonel Arnaud Beltrame",,,,way
"Rue du Colonel Gloxin",,,,relation+way
"Rue du Comte de Lambert",,,,relation
"Rue du Comte de Saint-Cricq",,,,way
"Rue du Cottage des Tourterelles",,,,way
"Rue du Docteur Boutilhe",,,,way
"Rue du Docteur Dassieu",,,,relation
"Rue du Docteur Paul Casassus",,,,relation
"Rue du Docteur Schweitzer",,,,relation
"Rue du Docteur Simian",,,,relation
"Rue du Fer à Cheval",,,,relation+way
"Rue du Gabizos",,,,way
"Rue du Gave",,,,way
"Rue du Général Dauture",,,,way
"Rue du Général Laperrine",,,,way
"Rue du Général de Lorencez",,,,way
"Rue du Gui",,,,relation
"Rue du Gypaète",,,,way
"Rue du Hameau de Saint-Cloud",,,,relation
"Rue du Hameau de Trespoey",,,,way
"Rue du Hameau de l'Hippodrome",,,,way
"Rue du Hédas",,,,relation+way
"Rue du Languedoc",,,,relation
"Rue du Laü",,,,way
"Rue du Lieutenant-Colonel Boudoube",,,,way
"Rue du Manège",,,,way
"Rue du Maquis du Béarn",,,,way
"Rue du Marboré",,,,way
"Rue du Marcadau",,,,way
"Rue du Maréchal Foch",,,,relation
"Rue du Maréchal Harispe",,,,way
"Rue du Maréchal Joffre",,,,relation
"Rue du Maréchal Juin",,,,way
"Rue du Marsan",,,,relation+way
"Rue du Midi",,,,way
"Rue du Mohédan",,,,relation
"Rue du Moulin",,,,relation
"Rue du Panache Blanc",,,,way
"Rue du Parc en Ciel",,,,relation
"Rue du Parlement",,,,relation
"Rue du Parnasse",,,,way
"Rue du Pasteur Alphonse Cadier",,,,way
"Rue du Père Pardies",,,,way
"Rue du Pesquit",,,,way
"Rue du Pic de Cezy",,,,way
"Rue du Pic de Pan",,,,relation
"Rue du Pic du Midi",,,,way
"Rue du Pin",,,,way
"Rue du Pourtalet",,,,relation
"Rue du Pré aux Clercs",,,,way
"Rue du Président René Coty",,,,relation
"Rue du Professeur Doléris",,,,way
"Rue du Professeur Garrigou Lagrange",,,,way
"Rue du Professeur Jacques Monod",,,,way
"Rue du Professeur Léon Schwartzenberg",,,,way
"Rue du Quercy",,,,relation
"Rue du Relais",,,,relation+way
"Rue du Roi Soleil",,,,way
"Rue du Ruisseau du Laü",,,,way
"Rue du Sergent Bernès-Cambot",,,,relation
"Rue du Somport",,,,relation
"Rue du Soust",,,,way
"Rue du Syringa",,,,relation
"Rue du Traquet",,,,way
"Rue du Tremblay",,,,way
"Rue du Tursan",,,,relation
"Rue du Val d'Azun",,,,way
"Rue du Vert Galant",,,,way
"Sentiers du Roy",,,,way
"Square George V",,,,relation+way
"Square Georges Besson",,,,way
V81,,,,way
"Voie verte Larribau",,,,way
"Voie verte de l’école Marancy",,,,way
"parcours sportif",,,,way
"piste cyclable Léon Blum",,,,way
"rue des Bains",,,,way
"sentier de l'Ousse des bois",,,,way
"voie verte Joseph de Pesquidoux",,,,way
